# This RNR data was obtained partly from the authors (data in Fig 2 of BMC 2005) and also using Plot Digitizer (e.g. those in scientific notation).																								
# values of zero leading a seqence of increasing concentrations were set to 1e-2 (essentially zero) to allow [x]>0 subsetting.																								
#R1	R2	UDP	CDP	GDP	ADP	dTTP	dTTPf	dGTP	dGTPf	dATP	dATPf	ATP	Mg	v	mass	n	fg	year	jrnl	vol	page	frstAut	organism	
R	r 	U 	C 	G 	A 	t	tf	g	gf	a	af	X	Mg	v	m	n	fg	year	jrnl	vol	page	frstAut	organism	
0.44	1.76	0	500	0	0	0	NA	0	NA	0	0	2000	6000	94.3429	NA	NA	6	2006	JBC	281	27705	Rofougaran	mouse	
0.44	1.76	0	500	0	0	0	NA	0	NA	0	0	0	6000	15.1436	NA	NA	6	2006	JBC	281	27705	Rofougaran	mouse	
0.44	1.76	0	500	0	0	0	NA	0	NA	0	0	100	6000	40.20888	NA	NA	6	2006	JBC	281	27705	Rofougaran	mouse	
0.44	1.76	0	500	0	0	0	NA	0	NA	0	0	250	6000	37.33681	NA	NA	6	2006	JBC	281	27705	Rofougaran	mouse	
0.44	1.76	0	500	0	0	0	NA	0	NA	0	0	500	6000	76.32724	NA	NA	6	2006	JBC	281	27705	Rofougaran	mouse	
0.44	1.76	0	500	0	0	0	NA	0	NA	0	0	1000	6000	96.77981	NA	NA	6	2006	JBC	281	27705	Rofougaran	mouse	
0.44	1.76	0	500	0	0	0	NA	0	NA	0	0	2000	6000	105.6571	NA	NA	6	2006	JBC	281	27705	Rofougaran	mouse	
1.84	1.08	0	500	0	0	0	NA	0	NA	0	0	0	4000	0	NA	NA	5	2010	NA	NA	NA	Zhou	human	
1.84	1.08	0	500	0	0	0	NA	0	NA	0	0	20	4000	5.12	NA	NA	5	2010	NA	NA	NA	Zhou	human	
1.84	1.08	0	500	0	0	0	NA	0	NA	0	0	40	4000	10.25	NA	NA	5	2010	NA	NA	NA	Zhou	human	
1.84	1.08	0	500	0	0	0	NA	0	NA	0	0	60	4000	12.73	NA	NA	5	2010	NA	NA	NA	Zhou	human	
1.84	1.08	0	500	0	0	0	NA	0	NA	0	0	80	4000	13.22	NA	NA	5	2010	NA	NA	NA	Zhou	human	
1.84	1.08	0	500	0	0	0	NA	0	NA	0	0	100	4000	17.61	NA	NA	5	2010	NA	NA	NA	Zhou	human	
1.84	1.08	0	500	0	0	0	NA	0	NA	0	0	120	4000	23.37	NA	NA	5	2010	NA	NA	NA	Zhou	human	
1.84	1.08	0	500	0	0	0	NA	0	NA	0	0	140	4000	32.55	NA	NA	5	2010	NA	NA	NA	Zhou	human	
1.84	1.08	0	500	0	0	0	NA	0	NA	0	0	160	4000	33.09	NA	NA	5	2010	NA	NA	NA	Zhou	human	
1.84	1.08	0	500	0	0	0	NA	0	NA	0	0	180	4000	36.84	NA	NA	5	2010	NA	NA	NA	Zhou	human	
1.84	1.08	0	500	0	0	0	NA	0	NA	0	0	200	4000	45.71	NA	NA	5	2010	NA	NA	NA	Zhou	human	
1.84	1.08	0	500	0	0	0	NA	0	NA	0	0	220	4000	41.98	NA	NA	5	2010	NA	NA	NA	Zhou	human	
1.84	1.08	0	500	0	0	0	NA	0	NA	0	0	240	4000	47.07	NA	NA	5	2010	NA	NA	NA	Zhou	human	
1.84	1.08	0	500	0	0	0	NA	0	NA	0	0	260	4000	49.72	NA	NA	5	2010	NA	NA	NA	Zhou	human	
1.84	1.08	0	500	0	0	0	NA	0	NA	0	0	280	4000	50.7	NA	NA	5	2010	NA	NA	NA	Zhou	human	
1.84	1.08	0	500	0	0	0	NA	0	NA	0	0	300	4000	51.18	NA	NA	5	2010	NA	NA	NA	Zhou	human	
1.84	1.08	0	500	0	0	0	NA	0	NA	0	0	1000	4000	79.82	NA	NA	5	2010	NA	NA	NA	Zhou	human	
1.84	1.08	0	500	0	0	0	NA	0	NA	0	0	0	4000	0	NA	NA	5	2010	NA	NA	NA	Zhou	human	
1.84	1.08	0	500	0	0	0	NA	0	NA	0	0	20	4000	4.85	NA	NA	5	2010	NA	NA	NA	Zhou	human	
1.84	1.08	0	500	0	0	0	NA	0	NA	0	0	40	4000	8.35	NA	NA	5	2010	NA	NA	NA	Zhou	human	
1.84	1.08	0	500	0	0	0	NA	0	NA	0	0	60	4000	13.56	NA	NA	5	2010	NA	NA	NA	Zhou	human	
1.84	1.08	0	500	0	0	0	NA	0	NA	0	0	80	4000	16.01	NA	NA	5	2010	NA	NA	NA	Zhou	human	
1.84	1.08	0	500	0	0	0	NA	0	NA	0	0	100	4000	15.7	NA	NA	5	2010	NA	NA	NA	Zhou	human	
1.84	1.08	0	500	0	0	0	NA	0	NA	0	0	120	4000	25.62	NA	NA	5	2010	NA	NA	NA	Zhou	human	
1.84	1.08	0	500	0	0	0	NA	0	NA	0	0	140	4000	30.85	NA	NA	5	2010	NA	NA	NA	Zhou	human	
1.84	1.08	0	500	0	0	0	NA	0	NA	0	0	160	4000	33.21	NA	NA	5	2010	NA	NA	NA	Zhou	human	
1.84	1.08	0	500	0	0	0	NA	0	NA	0	0	180	4000	35.7	NA	NA	5	2010	NA	NA	NA	Zhou	human	
1.84	1.08	0	500	0	0	0	NA	0	NA	0	0	200	4000	38.38	NA	NA	5	2010	NA	NA	NA	Zhou	human	
1.84	1.08	0	500	0	0	0	NA	0	NA	0	0	220	4000	43.2	NA	NA	5	2010	NA	NA	NA	Zhou	human	
1.84	1.08	0	500	0	0	0	NA	0	NA	0	0	240	4000	48.02	NA	NA	5	2010	NA	NA	NA	Zhou	human	
1.84	1.08	0	500	0	0	0	NA	0	NA	0	0	260	4000	46.83	NA	NA	5	2010	NA	NA	NA	Zhou	human	
1.84	1.08	0	500	0	0	0	NA	0	NA	0	0	280	4000	51.72	NA	NA	5	2010	NA	NA	NA	Zhou	human	
1.84	1.08	0	500	0	0	0	NA	0	NA	0	0	300	4000	55.21	NA	NA	5	2010	NA	NA	NA	Zhou	human	
1.84	1.08	0	500	0	0	0	NA	0	NA	0	0	1000	4000	76.65	NA	NA	5	2010	NA	NA	NA	Zhou	human	
1.84	1.08	0	500	0	0	0	NA	0	NA	0	0	100	4000	20.12	NA	NA	5	2010	NA	NA	NA	Zhou	human	
1.84	1.08	0	500	0	0	0	NA	0	NA	0	0	200	4000	37.94	NA	NA	5	2010	NA	NA	NA	Zhou	human	
1.84	1.08	0	500	0	0	0	NA	0	NA	0	0	300	4000	56.94	NA	NA	5	2010	NA	NA	NA	Zhou	human	
1.84	1.08	0	500	0	0	0	NA	0	NA	0	0	1000	4000	73.44	NA	NA	5	2010	NA	NA	NA	Zhou	human	
1	2.3	0	0	1000	0	1.93E+01	17.466	0	0	0	0	0	10000	154.9	NA	NA	6	2001	Bioc 	40	1651	ScottCP	mouse	#mult k by 0.00151
1	2.3	0	0	1000	0	2.10E+00	1.147	0	0	0	0	0	10000	137.7	NA	NA	6	2001	Bioc 	40	1651	ScottCP	mouse	# all in uM
1	2.3	0	0	1000	0	1.13E+00	0.535	0	0	0	0	0	10000	95	NA	NA	6	2001	Bioc 	40	1651	ScottCP	mouse	# [R2] is for R2 dimer in 2001 paper
1	2.3	0	0	1000	0	7.23E-01	0.319	0	0	0	0	0	10000	58.6	NA	NA	6	2001	Bioc 	40	1651	ScottCP	mouse	
1	2.3	0	0	1000	0	4.65E-01	0.196	0	0	0	0	0	10000	42.1	NA	NA	6	2001	Bioc 	40	1651	ScottCP	mouse	
1	2.3	0	0	1000	0	2.23E-01	0.09	0	0	0	0	0	10000	23.7	NA	NA	6	2001	Bioc 	40	1651	ScottCP	mouse	
1	2.3	0	0	1000	0	1.14E-01	0.045	0	0	0	0	0	10000	10	NA	NA	6	2001	Bioc 	40	1651	ScottCP	mouse	
2	4.6	0	0	1000	0	2.59E-02	1.00E-02	0	0	0	0	0	10000	1.62	NA	NA	6	2001	Bioc 	40	1651	ScottCP	mouse	
2	4.6	0	0	1000	0	6.90E-02	0.027	0	0	0	0	0	10000	6.25	NA	NA	6	2001	Bioc 	40	1651	ScottCP	mouse	
2	4.6	0	0	1000	0	6.90E-02	0.027	0	0	0	0	0	10000	5.44	NA	NA	6	2001	Bioc 	40	1651	ScottCP	mouse	
2	4.6	0	0	1000	0	7.15E-02	0.028	0	0	0	0	0	10000	4.78	NA	NA	6	2001	Bioc 	40	1651	ScottCP	mouse	
2	4.6	0	0	1000	0	7.15E-02	0.028	0	0	0	0	0	10000	5.053	NA	NA	6	2001	Bioc 	40	1651	ScottCP	mouse	
2	4.6	0	0	1000	0	1.46E-01	0.058	0	0	0	0	0	10000	28.8	NA	NA	6	2001	Bioc 	40	1651	ScottCP	mouse	
2	4.6	0	0	1000	0	2.09E-01	0.084	0	0	0	0	0	10000	31.1	NA	NA	6	2001	Bioc 	40	1651	ScottCP	mouse	
2	4.6	0	0	1000	0	2.14E-01	0.086	0	0	0	0	0	10000	28.083	NA	NA	6	2001	Bioc 	40	1651	ScottCP	mouse	
2	4.6	0	0	1000	0	2.99E-01	0.122	0	0	0	0	0	10000	38.5	NA	NA	6	2001	Bioc 	40	1651	ScottCP	mouse	
2	4.6	0	0	1000	0	3.60E-01	0.149	0	0	0	0	0	10000	43.75	NA	NA	6	2001	Bioc 	40	1651	ScottCP	mouse	
2	4.6	0	0	1000	0	3.67E-01	0.152	0	0	0	0	0	10000	54.5	NA	NA	6	2001	Bioc 	40	1651	ScottCP	mouse	
2	4.6	0	0	1000	0	4.70E-01	0.198	0	0	0	0	0	10000	61.56	NA	NA	6	2001	Bioc 	40	1651	ScottCP	mouse	
2	4.6	0	0	1000	0	6.15E-01	0.266	0	0	0	0	0	10000	68.125	NA	NA	6	2001	Bioc 	40	1651	ScottCP	mouse	
2	4.6	0	0	1000	0	6.27E-01	0.272	0	0	0	0	0	10000	74.59	NA	NA	6	2001	Bioc 	40	1651	ScottCP	mouse	
2	4.6	0	0	1000	0	7.49E-01	0.332	0	0	0	0	0	10000	92.85	NA	NA	6	2001	Bioc 	40	1651	ScottCP	mouse	
2	4.6	0	0	1000	0	9.87E-01	0.456	0	0	0	0	0	10000	91.151	NA	NA	6	2001	Bioc 	40	1651	ScottCP	mouse	
2	4.6	0	0	1000	0	1.01E+00	0.467	0	0	0	0	0	10000	96.7	NA	NA	6	2001	Bioc 	40	1651	ScottCP	mouse	
2	4.6	0	0	1000	0	1.40E+00	0.691	0	0	0	0	0	10000	124.14	NA	NA	6	2001	Bioc 	40	1651	ScottCP	mouse	
2	4.6	0	0	1000	0	1.43E+00	0.708	0	0	0	0	0	10000	130.73	NA	NA	6	2001	Bioc 	40	1651	ScottCP	mouse	
2	4.6	0	0	1000	0	1.55E+01	13.657	0	0	0	0	0	10000	198.26	NA	NA	6	2001	Bioc 	40	1651	ScottCP	mouse	
2	4.6	0	0	1000	0	1.83E+01	16.411	0	0	0	0	0	10000	189.95	NA	NA	6	2001	Bioc 	40	1651	ScottCP	mouse	
2	4.6	0	0	1000	0	1.83E+01	16.464	0	0	0	0	0	10000	172.22	NA	NA	6	2001	Bioc 	40	1651	ScottCP	mouse	
4.1	8.7	0	0	1000	0	2.59E-02	1.00E-02	0	0	0	0	0	10000	2	NA	NA	6	2001	Bioc 	40	1651	ScottCP	mouse	
4.1	8.7	0	0	1000	0	1.51E-01	0.06	0	0	0	0	0	10000	21.2	NA	NA	6	2001	Bioc 	40	1651	ScottCP	mouse	
4.1	8.7	0	0	1000	0	3.26E-01	0.134	0	0	0	0	0	10000	38.4	NA	NA	6	2001	Bioc 	40	1651	ScottCP	mouse	
4.1	8.7	0	0	1000	0	5.17E-01	0.22	0	0	0	0	0	10000	54.6	NA	NA	6	2001	Bioc 	40	1651	ScottCP	mouse	
4.1	8.7	0	0	1000	0	9.73E-01	0.448	0	0	0	0	0	10000	86.6	NA	NA	6	2001	Bioc 	40	1651	ScottCP	mouse	
4.1	8.7	0	0	1000	0	2.20E+00	1.216	0	0	0	0	0	10000	126.8	NA	NA	6	2001	Bioc 	40	1651	ScottCP	mouse	
4.1	8.7	0	0	1000	0	6.76E+00	5.149	0	0	0	0	0	10000	141.8	NA	NA	6	2001	Bioc 	40	1651	ScottCP	mouse	
5.9	13.1	0	0	1000	0	2.59E-02	1.00E-02	0	0	0	0	0	10000	0.9	NA	NA	6	2001	Bioc 	40	1651	ScottCP	mouse	
5.9	13.1	0	0	1000	0	2.33E-01	0.094	0	0	0	0	0	10000	27.2	NA	NA	6	2001	Bioc 	40	1651	ScottCP	mouse	
5.9	13.1	0	0	1000	0	5.13E-01	0.218	0	0	0	0	0	10000	54.6	NA	NA	6	2001	Bioc 	40	1651	ScottCP	mouse	
5.9	13.1	0	0	1000	0	1.26E+00	0.61	0	0	0	0	0	10000	97.9	NA	NA	6	2001	Bioc 	40	1651	ScottCP	mouse	
5.9	13.1	0	0	1000	0	2.35E+00	1.322	0	0	0	0	0	10000	131.8	NA	NA	6	2001	Bioc 	40	1651	ScottCP	mouse	
5.9	13.1	0	0	1000	0	4.55E+00	3.125	0	0	0	0	0	10000	156.7	NA	NA	6	2001	Bioc 	40	1651	ScottCP	mouse	
5.9	13.1	0	0	1000	0	9.71E+00	7.984	0	0	0	0	0	10000	165.5	NA	NA	6	2001	Bioc 	40	1651	ScottCP	mouse	
0.5	3.2	0	0	0	350	0	0	1.15E+01	10.6	0	0	0	10000	149.8	NA	NA	6	2001	Bioc 	40	1651	ScottCP	mouse	
0.5	3.2	0	0	0	350	0	0	6.17E+00	5.3	0	0	0	10000	137.8	NA	NA	6	2001	Bioc 	40	1651	ScottCP	mouse	
0.5	3.2	0	0	0	350	0	0	2.86E+00	2.12	0	0	0	10000	136.98	NA	NA	6	2001	Bioc 	40	1651	ScottCP	mouse	
0.5	3.2	0	0	0	350	0	0	1.42E+00	0.88	0	0	0	10000	113.9	NA	NA	6	2001	Bioc 	40	1651	ScottCP	mouse	
0.5	3.2	0	0	0	350	0	0	9.70E-01	0.55	0	0	0	10000	71.7	NA	NA	6	2001	Bioc 	40	1651	ScottCP	mouse	
0.5	3.2	0	0	0	350	0	0	6.33E-01	0.33	0	0	0	10000	49.5	NA	NA	6	2001	Bioc 	40	1651	ScottCP	mouse	
0.5	3.2	0	0	0	350	0	0	4.44E-01	0.22	0	0	0	10000	21.5	NA	NA	6	2001	Bioc 	40	1651	ScottCP	mouse	
0.5	3.2	0	0	0	350	0	0	2.31E-03	1.00E-02	0	0	0	10000	8.6	NA	NA	6	2001	Bioc 	40	1651	ScottCP	mouse	
1.9	10.7	0	0	1.00E+05	0	100	NA	0.010	NA	0	0	0	10000	100	NA	NA	8	2001	Bioc 	40	1651	ScottCP	mouse	# in percent
1.9	10.7	0	0	1.00E+05	0	100	NA	1.00E-02	NA	0	0	0	10000	100	NA	NA	8	2001	Bioc 	40	1651	ScottCP	mouse	
1.9	10.7	0	0	1.00E+05	0	100	NA	29.8	NA	0	0	0	10000	92.9	NA	NA	8	2001	Bioc 	40	1651	ScottCP	mouse	
1.9	10.7	0	0	1.00E+05	0	100	NA	30	NA	0	0	0	10000	90.2	NA	NA	8	2001	Bioc 	40	1651	ScottCP	mouse	
1.9	10.7	0	0	1.00E+05	0	100	NA	86.4	NA	0	0	0	10000	73.4	NA	NA	8	2001	Bioc 	40	1651	ScottCP	mouse	
1.9	10.7	0	0	1.00E+05	0	100	NA	96	NA	0	0	0	10000	70.9	NA	NA	8	2001	Bioc 	40	1651	ScottCP	mouse	
1.9	10.7	0	0	1.00E+05	0	100	NA	278	NA	0	0	0	10000	38.3	NA	NA	8	2001	Bioc 	40	1651	ScottCP	mouse	
1.9	10.7	0	0	1.00E+05	0	100	NA	300	NA	0	0	0	10000	37.7	NA	NA	8	2001	Bioc 	40	1651	ScottCP	mouse	
1.9	10.7	0	0	1.00E+05	0	100	NA	828	NA	0	0	0	10000	14.2	NA	NA	8	2001	Bioc 	40	1651	ScottCP	mouse	
1.9	10.7	0	0	1.00E+05	0	100	NA	864	NA	0	0	0	10000	14	NA	NA	8	2001	Bioc 	40	1651	ScottCP	mouse	
1.9	10.7	0	0	1.00E+05	0	100	NA	1740	NA	0	0	0	10000	8	NA	NA	8	2001	Bioc 	40	1651	ScottCP	mouse	
1.9	10.7	0	0	1.00E+05	0	100	NA	3002	NA	0	0	0	10000	4.9	NA	NA	8	2001	Bioc 	40	1651	ScottCP	mouse	
1.2	2	0	0	0	1.39E-01	0	0	330	NA	0	0	0	10000	2.00E+00	NA	NA	5	2001	Bioc 	40	1651	ScottCP	mouse	
1.2	2	0	0	0	1.52E+00	0	0	330	NA	0	0	0	10000	7.77E+00	NA	NA	5	2001	Bioc 	40	1651	ScottCP	mouse	
1.2	2	0	0	0	1.52E+00	0	0	330	NA	0	0	0	10000	1.14E+01	NA	NA	5	2001	Bioc 	40	1651	ScottCP	mouse	
1.2	2	0	0	0	2.34E+00	0	0	330	NA	0	0	0	10000	1.71E+01	NA	NA	5	2001	Bioc 	40	1651	ScottCP	mouse	
1.2	2	0	0	0	4.69E+00	0	0	330	NA	0	0	0	10000	3.42E+01	NA	NA	5	2001	Bioc 	40	1651	ScottCP	mouse	
1.2	2	0	0	0	6.48E+00	0	0	330	NA	0	0	0	10000	4.56E+01	NA	NA	5	2001	Bioc 	40	1651	ScottCP	mouse	
1.2	2	0	0	0	8.13E+00	0	0	330	NA	0	0	0	10000	5.75E+01	NA	NA	5	2001	Bioc 	40	1651	ScottCP	mouse	
1.2	2	0	0	0	9.36E+00	0	0	330	NA	0	0	0	10000	4.87E+01	NA	NA	5	2001	Bioc 	40	1651	ScottCP	mouse	
1.2	2	0	0	0	1.53E+01	0	0	330	NA	0	0	0	10000	6.22E+01	NA	NA	5	2001	Bioc 	40	1651	ScottCP	mouse	
1.2	2	0	0	0	1.72E+01	0	0	330	NA	0	0	0	10000	6.21E+01	NA	NA	5	2001	Bioc 	40	1651	ScottCP	mouse	
1.2	2	0	0	0	2.82E+01	0	0	330	NA	0	0	0	10000	8.91E+01	NA	NA	5	2001	Bioc 	40	1651	ScottCP	mouse	
1.2	2	0	0	0	3.71E+01	0	0	330	NA	0	0	0	10000	9.78E+01	NA	NA	5	2001	Bioc 	40	1651	ScottCP	mouse	
1.2	2	0	0	0	7.02E+01	0	0	330	NA	0	0	0	10000	1.02E+02	NA	NA	5	2001	Bioc 	40	1651	ScottCP	mouse	
1.2	2	0	0	1.39E-01	0	330	NA	0	0	0	0	0	10000	2.00E+00	NA	NA	5	2001	Bioc 	40	1651	ScottCP	mouse	
1.2	2	0	0	9.73E-01	0	330	NA	0	0	0	0	0	10000	2.02E+01	NA	NA	5	2001	Bioc 	40	1651	ScottCP	mouse	
1.2	2	0	0	1.81E+00	0	330	NA	0	0	0	0	0	10000	4.20E+01	NA	NA	5	2001	Bioc 	40	1651	ScottCP	mouse	
1.2	2	0	0	2.91E+00	0	330	NA	0	0	0	0	0	10000	5.50E+01	NA	NA	5	2001	Bioc 	40	1651	ScottCP	mouse	
1.2	2	0	0	3.75E+00	0	330	NA	0	0	0	0	0	10000	7.37E+01	NA	NA	5	2001	Bioc 	40	1651	ScottCP	mouse	
1.2	2	0	0	4.44E+00	0	330	NA	0	0	0	0	0	10000	7.99E+01	NA	NA	5	2001	Bioc 	40	1651	ScottCP	mouse	
1.2	2	0	0	6.92E+00	0	330	NA	0	0	0	0	0	10000	1.03E+02	NA	NA	5	2001	Bioc 	40	1651	ScottCP	mouse	
1.2	2	0	0	8.99E+00	0	330	NA	0	0	0	0	0	10000	1.30E+02	NA	NA	5	2001	Bioc 	40	1651	ScottCP	mouse	
1.2	2	0	0	1.52E+01	0	330	NA	0	0	0	0	0	10000	1.49E+02	NA	NA	5	2001	Bioc 	40	1651	ScottCP	mouse	
1.2	2	0	0	1.78E+01	0	330	NA	0	0	0	0	0	10000	1.72E+02	NA	NA	5	2001	Bioc 	40	1651	ScottCP	mouse	
1.2	2	0	0	3.01E+01	0	330	NA	0	0	0	0	0	10000	1.59E+02	NA	NA	5	2001	Bioc 	40	1651	ScottCP	mouse	
1.2	2	0	0	6.02E+01	0	330	NA	0	0	0	0	0	10000	1.54E+02	NA	NA	5	2001	Bioc 	40	1651	ScottCP	mouse	
0.1	5.00E-03	0	0	30	0	300	NA	0	0	0	0	0	10000	1.52E+00	NA	NA	7	2001	Bioc 	40	1651	ScottCP	mouse	# percent
0.1	8.47E-03	0	0	30	0	300	NA	0	0	0	0	0	10000	2.64E+01	NA	NA	7	2001	Bioc 	40	1651	ScottCP	mouse	
0.1	1.51E-02	0	0	30	0	300	NA	0	0	0	0	0	10000	2.73E+01	NA	NA	7	2001	Bioc 	40	1651	ScottCP	mouse	
0.1	2.75E-02	0	0	30	0	300	NA	0	0	0	0	0	10000	3.97E+01	NA	NA	7	2001	Bioc 	40	1651	ScottCP	mouse	
0.1	5.02E-02	0	0	30	0	300	NA	0	0	0	0	0	10000	4.39E+01	NA	NA	7	2001	Bioc 	40	1651	ScottCP	mouse	
0.1	6.50E-02	0	0	30	0	300	NA	0	0	0	0	0	10000	6.70E+01	NA	NA	7	2001	Bioc 	40	1651	ScottCP	mouse	
0.1	8.52E-02	0	0	30	0	300	NA	0	0	0	0	0	10000	9.16E+01	NA	NA	7	2001	Bioc 	40	1651	ScottCP	mouse	
0.1	1.50E-01	0	0	30	0	300	NA	0	0	0	0	0	10000	9.83E+01	NA	NA	7	2001	Bioc 	40	1651	ScottCP	mouse	
0.1	5.09E-01	0	0	30	0	300	NA	0	0	0	0	0	10000	9.18E+01	NA	NA	7	2001	Bioc 	40	1651	ScottCP	mouse	# skip fig8 since 2D R2 config not modeled
7.6	0	0	0	0	0	8.27E-01	3.04E-01	0	0	0	0	0	10000	0	8.83E+01	NA	1	2001	Bioc 	40	1651	ScottCP	mouse	
7.6	0	0	0	0	0	1.73E+00	6.11E-01	0	0	0	0	0	10000	0	1.06E+02	NA	1	2001	Bioc 	40	1651	ScottCP	mouse	
7.6	0	0	0	0	0	3.19E+00	1.14E+00	0	0	0	0	0	10000	0	1.16E+02	NA	1	2001	Bioc 	40	1651	ScottCP	mouse	
7.6	0	0	0	0	0	4.92E+00	1.87E+00	0	0	0	0	0	10000	0	1.52E+02	NA	1	2001	Bioc 	40	1651	ScottCP	mouse	
7.6	0	0	0	0	0	8.73E+00	4.03E+00	0	0	0	0	0	10000	0	1.48E+02	NA	1	2001	Bioc 	40	1651	ScottCP	mouse	
7.6	0	0	0	0	0	1.37E+01	7.85E+00	0	0	0	0	0	10000	0	1.63E+02	NA	1	2001	Bioc 	40	1651	ScottCP	mouse	
7.6	0	0	0	0	0	1.86E+01	1.22E+01	0	0	0	0	0	10000	0	1.66E+02	NA	1	2001	Bioc 	40	1651	ScottCP	mouse	
7.6	0	0	0	0	0	0	0	1.13E+00	4.20E-01	0	0	0	10000	0	9.97E+01	NA	1	2001	Bioc 	40	1651	ScottCP	mouse	
7.6	0	0	0	0	0	0	0	2.46E+00	8.79E-01	0	0	0	10000	0	1.17E+02	NA	1	2001	Bioc 	40	1651	ScottCP	mouse	
7.6	0	0	0	0	0	0	0	4.65E+00	1.75E+00	0	0	0	10000	0	1.27E+02	NA	1	2001	Bioc 	40	1651	ScottCP	mouse	
7.6	0	0	0	0	0	0	0	8.22E+00	3.69E+00	0	0	0	10000	0	1.55E+02	NA	1	2001	Bioc 	40	1651	ScottCP	mouse	
7.6	0	0	0	0	0	0	0	1.17E+01	6.18E+00	0	0	0	10000	0	1.50E+02	NA	1	2001	Bioc 	40	1651	ScottCP	mouse	
7.6	0	0	0	0	0	0	0	2.32E+01	1.65E+01	0	0	0	10000	0	1.66E+02	NA	1	2001	Bioc 	40	1651	ScottCP	mouse	
7	0	0	0	1000	0	1.11E-02	6.76E-03	0	0	0	0	0	10000	0	1.21E+02	NA	1	2001	Bioc 	40	1651	ScottCP	mouse	
7	0	0	0	1000	0	4.15E-01	1.74E-01	0	0	0	0	0	10000	0	1.39E+02	NA	1	2001	Bioc 	40	1651	ScottCP	mouse	
7	0	0	0	1000	0	1.06E+00	4.19E-01	0	0	0	0	0	10000	0	1.51E+02	NA	1	2001	Bioc 	40	1651	ScottCP	mouse	
7	0	0	0	1000	0	2.79E+00	1.07E+00	0	0	0	0	0	10000	0	1.68E+02	NA	1	2001	Bioc 	40	1651	ScottCP	mouse	
7	0	0	0	1000	0	7.65E+00	3.60E+00	0	0	0	0	0	10000	0	1.73E+02	NA	1	2001	Bioc 	40	1651	ScottCP	mouse	
7	0	0	0	1000	0	1.88E+01	1.29E+01	0	0	0	0	0	10000	0	1.71E+02	NA	1	2001	Bioc 	40	1651	ScottCP	mouse	
6.1	0	0	0	0	370	0	0	1.32E-02	8.58E-04	0	0	0	10000	0	1.05E+02	NA	1	2001	Bioc 	40	1651	ScottCP	mouse	
6.1	0	0	0	0	370	0	0	6.22E-01	2.87E-01	0	0	0	10000	0	1.20E+02	NA	1	2001	Bioc 	40	1651	ScottCP	mouse	
6.1	0	0	0	0	370	0	0	1.11E+00	4.91E-01	0	0	0	10000	0	1.29E+02	NA	1	2001	Bioc 	40	1651	ScottCP	mouse	
6.1	0	0	0	0	370	0	0	2.91E+00	1.26E+00	0	0	0	10000	0	1.47E+02	NA	1	2001	Bioc 	40	1651	ScottCP	mouse	
